"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 21 13:08:08 GMT 2020","Fri Aug 21 13:08:18 GMT 2020","9690","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"passed","Fri Aug 21 13:06:56 GMT 2020","Fri Aug 21 13:06:57 GMT 2020","723","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"passed","Fri Aug 21 13:06:45 GMT 2020","Fri Aug 21 13:06:47 GMT 2020","1814","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"passed","Fri Aug 21 13:08:35 GMT 2020","Fri Aug 21 13:08:38 GMT 2020","3792","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
"passed","Fri Aug 21 13:08:45 GMT 2020","Fri Aug 21 13:09:06 GMT 2020","20969","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Fri Aug 21 13:06:31 GMT 2020","Fri Aug 21 13:06:35 GMT 2020","3396","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
"failed","Fri Aug 21 13:07:04 GMT 2020","Fri Aug 21 13:07:18 GMT 2020","14521","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
"passed","Fri Aug 21 13:08:24 GMT 2020","Fri Aug 21 13:08:28 GMT 2020","3879","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
"passed","Fri Aug 21 13:07:25 GMT 2020","Fri Aug 21 13:07:39 GMT 2020","13937","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
"passed","Fri Aug 21 13:07:45 GMT 2020","Fri Aug 21 13:08:01 GMT 2020","16072","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
