"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","beforeTest","beforeTest",""
"broken","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","afterMethod","afterMethod",""
"skipped","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"skipped","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
"skipped","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"skipped","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
"skipped","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"skipped","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"broken","Wed Jan 13 07:24:18 GMT 2021","Wed Jan 13 07:24:19 GMT 2021","961","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
"skipped","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","1","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
"skipped","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
"skipped","Wed Jan 13 07:24:20 GMT 2021","Wed Jan 13 07:24:20 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
