"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 21 11:27:48 GMT 2020","Fri Aug 21 11:27:48 GMT 2020","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
"skipped","Fri Aug 21 11:27:48 GMT 2020","Fri Aug 21 11:27:48 GMT 2020","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"broken","Fri Aug 21 11:27:48 GMT 2020","Fri Aug 21 11:27:48 GMT 2020","1","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","afterMethod","afterMethod",""
"broken","Fri Aug 21 11:27:47 GMT 2020","Fri Aug 21 11:27:48 GMT 2020","637","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
"skipped","Fri Aug 21 11:27:48 GMT 2020","Fri Aug 21 11:27:48 GMT 2020","1","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
"skipped","Fri Aug 21 11:27:47 GMT 2020","Fri Aug 21 11:27:47 GMT 2020","1","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"skipped","Fri Aug 21 11:27:47 GMT 2020","Fri Aug 21 11:27:47 GMT 2020","0","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"broken","Fri Aug 21 11:27:47 GMT 2020","Fri Aug 21 11:27:47 GMT 2020","1","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","beforeTest","beforeTest",""
"skipped","Fri Aug 21 11:27:48 GMT 2020","Fri Aug 21 11:27:48 GMT 2020","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
"skipped","Fri Aug 21 11:27:48 GMT 2020","Fri Aug 21 11:27:48 GMT 2020","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
"skipped","Fri Aug 21 11:27:48 GMT 2020","Fri Aug 21 11:27:48 GMT 2020","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"skipped","Fri Aug 21 11:27:47 GMT 2020","Fri Aug 21 11:27:47 GMT 2020","2","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
