"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 03 15:04:04 GMT 2020","Tue Nov 03 15:04:08 GMT 2020","3860","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
"passed","Tue Nov 03 15:04:25 GMT 2020","Tue Nov 03 15:04:43 GMT 2020","18134","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Tue Nov 03 15:03:07 GMT 2020","Tue Nov 03 15:03:13 GMT 2020","5279","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
"passed","Tue Nov 03 15:05:04 GMT 2020","Tue Nov 03 15:05:06 GMT 2020","1577","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"passed","Tue Nov 03 15:03:19 GMT 2020","Tue Nov 03 15:03:35 GMT 2020","16391","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
"failed","Tue Nov 03 15:02:46 GMT 2020","Tue Nov 03 15:03:00 GMT 2020","14361","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
"passed","Tue Nov 03 15:04:52 GMT 2020","Tue Nov 03 15:04:55 GMT 2020","2872","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
"passed","Tue Nov 03 15:05:15 GMT 2020","Tue Nov 03 15:05:15 GMT 2020","672","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"passed","Tue Nov 03 15:03:42 GMT 2020","Tue Nov 03 15:03:58 GMT 2020","15966","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"passed","Tue Nov 03 15:04:15 GMT 2020","Tue Nov 03 15:04:18 GMT 2020","3487","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
