"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 13 07:35:01 GMT 2021","Wed Jan 13 07:35:02 GMT 2021","541","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
"passed","Wed Jan 13 07:36:44 GMT 2021","Wed Jan 13 07:36:44 GMT 2021","228","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"passed","Wed Jan 13 07:36:22 GMT 2021","Wed Jan 13 07:36:23 GMT 2021","885","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"passed","Wed Jan 13 07:35:58 GMT 2021","Wed Jan 13 07:36:01 GMT 2021","2588","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
"passed","Wed Jan 13 07:34:11 GMT 2021","Wed Jan 13 07:34:18 GMT 2021","7283","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"failed","Wed Jan 13 07:32:28 GMT 2021","Wed Jan 13 07:32:46 GMT 2021","17764","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
"passed","Wed Jan 13 07:33:36 GMT 2021","Wed Jan 13 07:33:50 GMT 2021","14149","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
"passed","Wed Jan 13 07:35:22 GMT 2021","Wed Jan 13 07:35:37 GMT 2021","14759","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Wed Jan 13 07:34:39 GMT 2021","Wed Jan 13 07:34:40 GMT 2021","923","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
"passed","Wed Jan 13 07:33:07 GMT 2021","Wed Jan 13 07:33:14 GMT 2021","6633","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
