"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 13 07:36:57 GMT 2021","Wed Jan 13 07:37:24 GMT 2021","26852","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
"passed","Wed Jan 13 07:40:06 GMT 2021","Wed Jan 13 07:40:17 GMT 2021","10500","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Wed Jan 13 07:40:39 GMT 2021","Wed Jan 13 07:40:41 GMT 2021","2720","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
"failed","Wed Jan 13 07:38:17 GMT 2021","Wed Jan 13 07:38:29 GMT 2021","11429","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
"failed","Wed Jan 13 07:38:50 GMT 2021","Wed Jan 13 07:39:01 GMT 2021","11563","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"passed","Wed Jan 13 07:41:25 GMT 2021","Wed Jan 13 07:41:26 GMT 2021","348","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"passed","Wed Jan 13 07:41:03 GMT 2021","Wed Jan 13 07:41:04 GMT 2021","1467","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"passed","Wed Jan 13 07:39:23 GMT 2021","Wed Jan 13 07:39:24 GMT 2021","1123","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
"passed","Wed Jan 13 07:37:46 GMT 2021","Wed Jan 13 07:37:56 GMT 2021","10714","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
"passed","Wed Jan 13 07:39:45 GMT 2021","Wed Jan 13 07:39:45 GMT 2021","718","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
