"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 21 06:00:07 GMT 2020","Fri Aug 21 06:00:10 GMT 2020","2723","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
"failed","Fri Aug 21 06:00:35 GMT 2020","Fri Aug 21 06:00:49 GMT 2020","13977","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
"passed","Fri Aug 21 06:01:19 GMT 2020","Fri Aug 21 06:01:35 GMT 2020","16722","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Fri Aug 21 06:01:00 GMT 2020","Fri Aug 21 06:01:11 GMT 2020","10594","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"passed","Fri Aug 21 06:00:18 GMT 2020","Fri Aug 21 06:00:19 GMT 2020","290","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"passed","Fri Aug 21 06:01:15 GMT 2020","Fri Aug 21 06:01:18 GMT 2020","3308","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
"passed","Fri Aug 21 06:00:13 GMT 2020","Fri Aug 21 06:00:15 GMT 2020","1558","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"failed","Fri Aug 21 06:00:19 GMT 2020","Fri Aug 21 06:00:35 GMT 2020","15616","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
"passed","Fri Aug 21 06:01:11 GMT 2020","Fri Aug 21 06:01:14 GMT 2020","3317","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
"passed","Fri Aug 21 06:00:50 GMT 2020","Fri Aug 21 06:01:00 GMT 2020","9849","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
