"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"skipped","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"skipped","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","1","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
"skipped","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
"skipped","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","1","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"skipped","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"skipped","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","1","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
"broken","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","2","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","beforeTest","beforeTest",""
"skipped","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
"skipped","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","0","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
"broken","Wed Jan 13 07:49:25 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","1","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","afterMethod","afterMethod",""
"broken","Wed Jan 13 07:49:24 GMT 2021","Wed Jan 13 07:49:25 GMT 2021","1022","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
