"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 13 07:39:25 GMT 2021","Wed Jan 13 07:39:27 GMT 2021","2520","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","downloadArticleTest","Проверка скачивания описания статьи",""
"passed","Wed Jan 13 07:39:08 GMT 2021","Wed Jan 13 07:39:09 GMT 2021","454","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginFormTest","Валидация формы авторизации",""
"passed","Wed Jan 13 07:39:07 GMT 2021","Wed Jan 13 07:39:08 GMT 2021","751","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","loginByCookiesTest","Авторизация через Cookie",""
"passed","Wed Jan 13 07:39:29 GMT 2021","Wed Jan 13 07:39:29 GMT 2021","265","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageTest","Валидация главной страницы",""
"passed","Wed Jan 13 07:38:54 GMT 2021","Wed Jan 13 07:39:07 GMT 2021","13376","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","incorrectLoginTest","Авторизация с некорректными данными",""
"passed","Wed Jan 13 07:39:09 GMT 2021","Wed Jan 13 07:39:23 GMT 2021","14324","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Wed Jan 13 07:39:28 GMT 2021","Wed Jan 13 07:39:29 GMT 2021","850","Surefire suite","Surefire test","com.test.qabattle.tests.ArticlesTest","com.test.qabattle.tests.ArticlesTest","mainPageArticlesTest","Валидация вложенных статей",""
"passed","Wed Jan 13 07:38:43 GMT 2021","Wed Jan 13 07:38:47 GMT 2021","3222","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissFirstAlertLoginTest","Авторизация с отменой первого алерта",""
"failed","Wed Jan 13 07:38:26 GMT 2021","Wed Jan 13 07:38:43 GMT 2021","16646","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","clearLoginAndPassTest","Ввод и очистка полей логина и пароля",""
"passed","Wed Jan 13 07:38:47 GMT 2021","Wed Jan 13 07:38:53 GMT 2021","6114","Surefire suite","Surefire test","com.test.qabattle.tests.LoginTest","com.test.qabattle.tests.LoginTest","dismissSecondAlertLoginTest","Авторизация с отменой второго алерта",""
